"original address",latitude,longitude
". Triumph Pharm. Ltd	Laminu Sadique Str., Hausari Ward",,
". Andy Pharmacy	49, Mbukpa Rd, Calabar",4.937112,8.3167
". Anijah Pharm. Co. Ltd	23A, Eta Agbo Rd., Calabar",4.953822,8.339935
". Arita Pharmaceuticals Ltd	Plot277, Eta Agbo Rd., Calabar",4.953822,8.339935
". Bez Pharm. & Stores	10, White House St. Calabar",4.975717,8.341701
". Butex Pharmacy Ltd	9, Etta-Agbo Rd., Calabar",4.953822,8.339935
". Evob Pharmacy	86, Etta-Agbo Rd., Calabar",4.953822,8.339935
". Gadd Pharm. Chem. Ltd	108, Ndidem Usang Iso Rd., Calabar",4.967086,8.338003
". Gems Pharm. Ltd	50, Ndidem Iso Rd., POBox1856, Calabar",4.975717,8.341701
". Imecobas Pharmacy	50,Bewell St., Calabar",4.975717,8.341701
". Imecobas Pharmacy	30, Mayne Avenue Str., Calabar",4.975717,8.341701
". Jeeitu Pharmacy	72, MCC Rd., Calabar",4.989847,8.339283
". Jenuo Pharm. & Medical Supplies	17, Harcourt St. POBox 2437, Calabar",4.975717,8.341701
". Joe Mannuel & Mayfair Pharm.	78, Ekpo Abasi St., Calabar",4.933817,8.326538
". Kamel Pharmacy	908, Goldie St., Calabar",4.951224,8.332265
". Klyns Pharmacy	110, White House St., Calabar",4.975717,8.341701
". Ndumex Pharmacy	2, Charmley St., Calabar",4.975717,8.341701
". Obel Pharmacy	80, Calabar Rd., Calabar",4.948373,8.315422
". Otto Pharmacy	1B, Mount Zion Rd., Calabar",4.94095,8.33512
". Rabana Pharmacy	58, Akim Rd., Calabar",4.959179,8.340101
". Rainbow Chemists	2, Edgerley Rd., Calabar",4.975717,8.341701
". Sebvin Pharm.	72, Ndidem Usang Iso Rd., Calabar",4.967086,8.338003
". Spearhead Pharmacy	88, Ndidem Usang Iso Rd., Calabar",4.967086,8.338003
". Vicon (NIG) Ltd	79/83, Egerton St., Calabar",4.955643,8.314837
". Vitamed Pharmacy	Plot 15, Mary Slessor Avenue, Calabar",4.954463,8.335414
". Calson Pharm. & Stores	13, Obudu Rd., Four Corners, Ikom",,
". Jipharmak Stores	4/5, Hospital Rd, Ikom",,
". Mekason Pharm. Co.	2, Ogoja Rd, Ikom",,
". Siban Pharm. Chemists Stores	1, Ogoja Rd. Four Corners, Ikom",,
". Zodiac Pharmacy	17, Okim Osabor Str. Ikom",,
". Edoh Pharmaceutical Chemist	2, Mission Rd., Igoli, Ogoja",6.654837,8.797694
". Yabusa Pharmaceuticals	6, Church Rd., Higidi",,
". Aureth Pharm.	42, Ezenei Avenue, Asaba",6.189089,6.736462
". Dubindac Pharm. Industirews Ltd	58, Nnebisi Rd., Cable Point, Asaba",6.20593,6.695894
". Early Brothers Pharm.	133, Nnebisi Rd., Asaba",6.205596,6.721347
". F-Nelson Pharm	201, Nnebisi Rd., Asaba",6.205596,6.721347
". Helt Hospitale Pharm.	1, Anwai Rd., Asaba",6.20593,6.695894
". Manafog Chemists	8. Anwai Rd., Asaba",6.20593,6.695894
". Metagon Pharm. Chemists	219, Nnebisi Rd., Asaba",6.205596,6.721347
". Ohans Pharm. & Stores	110, Nnebisi Rd., Asaba",6.205596,6.721347
". Vofmed Nig. Ltd	9, Capwire Rd., Asaba",6.20593,6.695894
". Angless Pharmacy	123, P.T.I. Rd., Effurun",,
". Aqui-Leo Pharmacy	3, Adjomo Avenue, Effurun",,
